expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
be full of,be full of,phrase,で一杯いっぱいの,で一杯いっぱいの,junior_high,2,3,3,熟語,3:1196,1
be good at,be good at,phrase,～が上手じょうずである,～が上手じょうずである / ～が上手である,junior_high,2,3,3;pre2,熟語,3:375;pre2:122,2
be in danger of,be in danger of,phrase,の危険きけんにさらされている,の危険きけんにさらされている,junior_high,2,3,3,熟語,3:900,1
be in need of,be in need of,phrase,を必要ひつようとする,を必要ひつようとする,junior_high,2,3,3,熟語,3:991,1
be in trouble,be in trouble,phrase,困こまっている,困こまっている,junior_high,2,3,3,熟語,3:829,1
be kind to,be kind to,phrase,～に親切しんせつにする,～に親切しんせつにする,junior_high,2,3,3,熟語,3:458,1
be known as,be known as,phrase,として知しられている,として知しられている / として知られている，として認知されている,junior_high,1,3,3;pre2;2,熟語,3:1006;pre2:1259;2:118,3
be likely to,be likely to,phrase,する可能性かのうせいが高たかい,する可能性かのうせいが高たかい / する可能性が高い，しそうになる / しそうである，する可能性が高い，ありそうな,junior_high,1,3,3;pre2;2;pre1;1,熟語,3:988;pre2:1226;2:20;pre1:2863;1:1429,5
be made of,be made of,phrase,で出来できている,で出来できている,junior_high,2,3,3,熟語,3:805,1
be proud of,be proud of,phrase,を誇ほこりに思おもう,を誇ほこりに思おもう,junior_high,2,3,3,熟語,3:227,1
be ready for,be ready for,phrase,の用意よういができている,の用意よういができている,junior_high,2,3,3,熟語,3:847,1
be responsible for,be responsible for,phrase,に対たいして責任せきにんがある,に対たいして責任せきにんがある / に対して責任がある,junior_high,2,3,3;pre2,熟語,3:1160;pre2:123,2
be satisfied with,be satisfied with,phrase,に満足まんぞくしている,に満足まんぞくしている,junior_high,2,3,3,熟語,3:1047,1
be sick of,be sick of,phrase,にうんざりしてる,にうんざりしてる / にうんざりしている,junior_high,2,3,3;pre2,熟語,3:942;pre2:136,2
because of,because of,phrase,～が理由で,～が理由で / ～が理由で，目的のために,junior_high,1,3,3;pre2;2,熟語,3:59;pre2:1459;2:448,3
believe in,believe in,phrase,を信しんじる,を信しんじる / を信じる，を信用する / を信じる，信用する,junior_high,1,3,3;2;pre1;1,熟語,3:784;2:534;pre1:1902;1:48,4
believe it or not,believe it or not,phrase,信しんじられないだろうけど,信しんじられないだろうけど / 信じられるか，そうでないか，信頼できるか,junior_high,2,3,3;1,熟語,3:867;1:1880,2
belong to,belong to,phrase,に属ぞくしている,に属ぞくしている,junior_high,2,3,3,熟語,3:1058,1
both of,both of,phrase,二つふたつとも,二つふたつとも,junior_high,2,3,3,熟語,3:729,1
by the way,by the way,phrase,ところで,ところで,junior_high,2,3,3,熟語,3:1093,1
carbon dioxide,carbon dioxide,phrase,二酸化炭素にさんかたんそ,二酸化炭素にさんかたんそ / 二酸化炭素，CO2,junior_high,2,3,3;2,名詞,3:976;2:627,2
care for,care for,phrase,の面倒めんどうを見みる,の面倒めんどうを見みる,junior_high,2,3,3,熟語,3:790,1
check out,check out,phrase,を調査ちょうさする,を調査ちょうさする,junior_high,2,3,3,熟語,3:937,1
city hall,city hall,phrase,市庁舎しちょうしゃ,市庁舎しちょうしゃ,junior_high,2,3,3,名詞,3:195,1
count on,count on,phrase,を当あてにする,を当あてにする / に頼る，を当てにする,junior_high,1,3,3;pre1;1,熟語,3:1035;pre1:1344;1:1156,3
day after day,day after day,phrase,毎日まいにち,毎日まいにち,junior_high,2,3,3,熟語,3:922,1
day in，day out,"day in,day out",phrase,来くる日ひも来くる日ひも,来くる日ひも来くる日ひも,junior_high,2,3,3,熟語,3:967,1
depend on,depend on,phrase,に依存いぞんする,に依存いぞんする / に頼る，依存する,junior_high,1,3,3;pre2;2,熟語,3:981;pre2:1413;2:381,3
die out,die out,phrase,絶滅ぜつめつする,絶滅ぜつめつする / 廃れる，消滅していく / 廃れる，流行が過ぎる，死に絶える,junior_high,1,3,3;pre1;1,熟語,3:1167;pre1:2139;1:1688,3
do a favor,do a favor,phrase,に頼たのみ事ごとを聞きく,に頼たのみ事ごとを聞きく,junior_high,2,3,3,熟語,3:887,1
drop by,drop by,phrase,に立たち寄よる,"に立たち寄よる / ちょっと立ち寄る, 立ち寄る / に立ち寄る，短時間訪れる，少し顔を出す",junior_high,1,3,3;pre2;2;pre1;1,熟語,3:1029;pre2:8;2:493;pre1:1803;1:1664,5
drop out,drop out,phrase,中退ちゅうたいする,中退ちゅうたいする,junior_high,2,3,3,熟語,3:682,1
each other,each other,phrase,お互たがいに,お互たがいに / お互い，それぞれ,junior_high,1,3,3;pre2;2,熟語,3:230;pre2:1402;2:363,3
eat out,eat out,phrase,外食がいしょくする,外食がいしょくする,junior_high,2,3,3,熟語,3:736,1
electronic device,electronic device,phrase,電子機器でんしきき,電子機器でんしきき,junior_high,2,3,3,熟語,3:743,1
encourage to ～,encourage to ~,phrase,に～するように促うながす,に～するように促うながす,junior_high,2,3,3,熟語,3:948,1
