word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status,master_levels,master_pos,master_meaning_ja,match_count
carpet,junior_high,じゅうたん,,junior_word_list,808,existing,junior_high,noun,じゅうたん,2
carry,junior_high,を運ぶ,,junior_word_list,809,existing,junior_high,verb,運ぶ,2
case,junior_high,場合,,junior_word_list,810;1327;1328,existing,junior_high,noun,場合・容器,2
cat,junior_high,猫,,junior_word_list,93,existing,junior_high,noun,猫,2
catch,junior_high,を捕まえる,,junior_word_list,811,existing,junior_high,verb,捕まえる・受け取る / 捕まえる・受け取る（過去形） / 捕まえる・受け取る（過去分詞）,4
central,junior_high,中心の,,junior_word_list,1329,existing,junior_high,adjective,中心の,2
century,junior_high,世紀,,junior_word_list,812;1911,existing,junior_high,noun,世紀,2
certain,junior_high,確かな,確かな,junior_word_list;high_word_list,1330;502,existing,junior_high,adjective,ある・確かな,2
certainly,junior_high,承知しました,,junior_word_list,813;1927,existing,junior_high,adverb,確かに,2
chain,junior_high,くさり,,junior_word_list,814,existing,junior_high,noun,くさり,2
chair,junior_high,いす,,junior_word_list,94,existing,junior_high,noun,いす,2
change,junior_high,変わる,,junior_word_list,815;816;1331,existing,junior_high,verb,変わる・変える,2
cheap,junior_high,安い,,junior_word_list,1333,existing,high_school,adjective,安い・安っぽい,2
check,junior_high,を調べる,,junior_word_list,818;819,existing,junior_high,noun,小切手・確認,2
chicken,junior_high,鶏肉,,junior_word_list,95,existing,junior_high,noun,ニワトリ・鶏肉,2
child,junior_high,子供,,junior_word_list,96;661,existing,junior_high,noun,子供 / 子どもたち,3
children,junior_high,子供たち,,junior_word_list,97,existing,junior_high,noun,子どもたち,1
china,junior_high,中国,,junior_word_list,1336,existing,junior_high,noun,中国,2
chinese,junior_high,中国語,,junior_word_list,821;1337,existing,junior_high,adjective,中国の・中国人の,2
choose,junior_high,を選ぶ,,junior_word_list,98;1338,existing,junior_high,verb,選ぶ / 選ぶ（過去形） / 選ぶ（過去分詞）,4
church,junior_high,教会,,junior_word_list,615,existing,junior_high,noun,教会,2
circle,junior_high,円,,junior_word_list,822;1339,existing,junior_high,noun,円・輪,2
citizen,junior_high,市民,市民,junior_word_list;high_word_list,823;524,existing,junior_high,noun,市民,2
city,junior_high,市、都会、都会,,junior_word_list,99,existing,junior_high,noun,市・都会,2
class,junior_high,授業,,junior_word_list,1340,existing,junior_high,noun,学級・授業,2
classmate,junior_high,同級生,,junior_word_list,100,existing,junior_high,noun,同級生,2
classroom,junior_high,教室,,junior_word_list,101,existing,junior_high,noun,教室,2
clean,junior_high,きれいな、清潔な,,junior_word_list,102;103;1341,existing,junior_high,adjective;verb,きれいな / 掃除する,4
clearly,junior_high,はっきりと,,junior_word_list,824,existing,high_school,adverb,はっきりと・明らかに,2
clerk,junior_high,店員,事務員,junior_word_list;high_word_list,614;825;321,existing,junior_high,noun,店員・事務員,2
clever,junior_high,利口な,,junior_word_list,826,existing,junior_high,adjective,利口な,2
climate,junior_high,気候,気候,junior_word_list;high_word_list,1342;525,existing,junior_high,noun,気候,2
climb,junior_high,を登る,,junior_word_list,104;672,existing,junior_high,verb,登る,2
close,junior_high,閉じる,,junior_word_list,827;1343,existing,junior_high,adjective;verb,近い・接近した / 閉じる,4
cloth,junior_high,布,,junior_word_list,828;1344,existing,junior_high,noun,布,2
clothes,junior_high,服,,junior_word_list,105;1345,existing,junior_high,noun,服,2
cloud,junior_high,雲,,junior_word_list,829,existing,junior_high,noun,雲,2
cloudy,junior_high,曇った,,junior_word_list,106;717,existing,junior_high,adjective,曇った,2
coal,junior_high,石炭,石炭,junior_word_list;high_word_list,1346;684,existing,high_school,noun,石炭,2
coin,junior_high,硬貨,,junior_word_list,830,existing,junior_high,noun,硬貨,2
cold,junior_high,冷たい、寒い,,junior_word_list,107,existing,junior_high,adjective,冷たい・寒い,2
collect,junior_high,を集める,集める,junior_word_list;high_word_list,108;796;1299,existing,junior_high,verb,集める,2
college,junior_high,大学,,junior_word_list,831;1347,existing,junior_high,noun,大学,2
come,junior_high,来る,,junior_word_list,109;832,existing,junior_high,verb,来る（過去形） / 来る（過去分詞） / 来る,5
common,junior_high,共通の,一般的な,junior_word_list;high_word_list,835;1925;458,existing,junior_high,adjective,共通の・よくある,2
communicate,junior_high,連絡する,,junior_word_list,836,existing,high_school,verb,伝える・意思疎通する,2
company,junior_high,会社,,junior_word_list,837,existing,junior_high,noun,会社,2
condition,junior_high,状況,状態,junior_word_list;high_word_list,1350;527,existing,high_school,noun,状態・条件,2
content,junior_high,中身,中身,junior_word_list;high_word_list,841;211,existing,high_school,noun,内容・中身,2
continue,junior_high,を続ける,続ける,junior_word_list;high_word_list,842;1354;234,existing,high_school,verb,続く・続ける,2
control,junior_high,を管理する,,junior_word_list,1355,existing,high_school,noun,支配・管理・制御,2
convenience,junior_high,便利,,junior_word_list,843,existing,high_school,noun,便利さ・都合,2
convenient,junior_high,便利な,都合がよい,junior_word_list;high_word_list,1356;1133;1636,existing,high_school,adjective,便利な・都合のよい,2
cook,junior_high,料理する,,junior_word_list,110,existing,junior_high,verb;noun,料理する / 料理人,4
cool,junior_high,かっこいい,,junior_word_list,111,existing,junior_high,adjective,涼しい・かっこいい,2
corner,junior_high,かど,,junior_word_list,844;1357,existing,junior_high,noun,角・すみ,2
could,junior_high,できた,,junior_word_list,112;1358,existing,junior_high,auxiliary,〜できた・〜かもしれない・〜していただけますか,1
country,junior_high,国,,junior_word_list,113,existing,junior_high,noun,国・田舎,2
couple,junior_high,夫婦,,junior_word_list,846,existing,junior_high,noun,カップル・二人組,2
courage,junior_high,勇気,勇気,junior_word_list;high_word_list,1360;1731;2071,existing,junior_high,noun,勇気,2
course,junior_high,進路,,junior_word_list,1361,existing,junior_high,noun,進路・講座・コース,2
cousin,junior_high,いとこ,,junior_word_list,115;1896,existing,junior_high,noun,いとこ,2
cover,junior_high,覆う,覆う,junior_word_list;high_word_list,1362;6,existing,junior_high,verb,おおう,2
cow,junior_high,ウシ,,junior_word_list,116,existing,junior_high,noun,牛,2
crazy,junior_high,気の狂った,,junior_word_list,1363,existing,junior_high,adjective,気が変な・夢中の,2
create,junior_high,を創造する,,junior_word_list,847,existing,high_school,verb,創造する・作り出す,2
cross,junior_high,を横切る，渡る,,junior_word_list,1365,existing,junior_high,verb,横切る,2
crowd,junior_high,群衆,群衆,junior_word_list;high_word_list,1912;388,existing,junior_high,noun,群衆・人混み,2
cry,junior_high,泣く,,junior_word_list,848;1366,existing,junior_high,verb,泣く,2
culture,junior_high,文化,文化,junior_word_list;high_word_list,850;146,existing,junior_high,noun,文化,2
cup,junior_high,カップ,,junior_word_list,117,existing,junior_high,noun,カップ,2
custom,junior_high,習慣,習慣,junior_word_list;high_word_list,1368;543,existing,junior_high,noun,習慣・慣習,2
customer,junior_high,顧客,顧客,junior_word_list;high_word_list,851;362,existing,high_school,noun,顧客・客,2
cut,junior_high,切る,,junior_word_list,852;1370,existing,junior_high,verb,切る（過去形） / 切る（過去分詞） / 切る,6
cute,junior_high,かわいい,,junior_word_list,118,existing,junior_high,adjective,かわいい,2
daily,junior_high,日常の,,junior_word_list,1371,existing,junior_high,adjective,毎日の,2
damage,junior_high,に損害を与える,,junior_word_list,853;1373,existing,junior_high,noun,被害・損害,2
dangerous,junior_high,危険な,,junior_word_list,1374,existing,high_school,adjective,危険な,2
date,junior_high,日、日付,,junior_word_list,119;670,existing,junior_high,verb;noun,デートする / 日付・デート,4
daughter,junior_high,娘,,junior_word_list,1375,existing,junior_high,noun,娘,2
day,junior_high,日、１日,,junior_word_list,120,existing,junior_high,noun,日,2
dear,junior_high,親愛なる,,junior_word_list,121,existing,junior_high,adjective,親愛なる,2
death,junior_high,死,,junior_word_list,1377,existing,junior_high,noun,死,2
december,junior_high,12月,,junior_word_list,122,existing,junior_high,noun,12月,2
decide,junior_high,を決める,,junior_word_list,854,existing,junior_high,verb,決める・決心する,2
decision,junior_high,決定,決定,junior_word_list;high_word_list,1380;641,existing,high_school,noun,決定・判断,2
decrease,junior_high,減少する,減少する,junior_word_list;high_word_list,855;968;1471,existing,high_school,noun,減少,2
deep,junior_high,深い,,junior_word_list,856,existing,junior_high,adjective,深い,2
delicious,junior_high,おいしい,,junior_word_list,123;1901,existing,junior_high,adjective,おいしい,2
depend,junior_high,頼る,依存する,junior_word_list;high_word_list,1382;464,existing,high_school,verb,頼る・依存する・左右される,2
desert,junior_high,砂漠,砂漠,junior_word_list;high_word_list,1384;548,existing,junior_high,noun,砂漠,2
design,junior_high,を設計する,,junior_word_list,1385,existing,high_school,noun,設計・デザイン・意図,2
desk,junior_high,机,,junior_word_list,124,existing,junior_high,noun,机,2
destroy,junior_high,を破壊する,破壊する,junior_word_list;high_word_list,1386;178,existing,junior_high,verb,破壊する,2
develop,junior_high,を発達させる,発達させる,junior_word_list;high_word_list,858;174,existing,high_school,verb,発達する・発展させる・開発する,2
development,junior_high,開発,発展,junior_word_list;high_word_list,1387;173,existing,high_school,noun,発達・発展・開発,2
device,junior_high,装置,装置,junior_word_list;high_word_list,1388;550,existing,high_school,noun,装置・工夫・手段,2
diary,junior_high,日記,,junior_word_list,600,existing,junior_high,noun,日記,2
dictionary,junior_high,辞書,,junior_word_list,125;677,existing,junior_high,noun,辞書,2
die,junior_high,死ぬ,死ぬ,junior_word_list;high_word_list,859;1389;328,existing,junior_high,verb,死ぬ,2
difference,junior_high,ちがい,違い,junior_word_list;high_word_list,1391;459,existing,high_school,noun,違い・差,2
different,junior_high,色々な、違った,,junior_word_list,126;860,existing,junior_high,adjective,違った・異なる,2
difficult,junior_high,難しい,,junior_word_list,127;645,existing,junior_high,adjective,難しい,2
dinner,junior_high,夕食,,junior_word_list,128,existing,junior_high,noun,夕食,2
directly,junior_high,直接に,直接（的）に,junior_word_list;high_word_list,862;1192;1695,existing,high_school,adverb,直接に・すぐに,2
discover,junior_high,発見する,発見する,junior_word_list;high_word_list,865;1394;176,existing,junior_high,verb,発見する,2
discuss,junior_high,話し合う,ついて議論する,junior_word_list;high_word_list,1396;1206;1709,existing,junior_high,verb,話し合う,2
discussion,junior_high,討論,議論,junior_word_list;high_word_list,1397;553,existing,junior_high,noun,討論・話し合い,2
disease,junior_high,病気,病気,junior_word_list;high_word_list,1398;157,existing,junior_high,noun,病気,2
dish,junior_high,皿、料理,,junior_word_list,129;679,existing,junior_high,noun,皿・料理,2
dislike,junior_high,嫌う,嫌がる,junior_word_list;high_word_list,866;799;1302,existing,junior_high,verb,嫌う,2
do,junior_high,をする、行う,,junior_word_list,130;867,existing,junior_high,verb;auxiliary,する（過去形） / 〜しなかった / する / 〜しない / する（過去分詞）,8
doctor,junior_high,医者,,junior_word_list,131,existing,junior_high,noun,医者,2
dog,junior_high,イヌ,,junior_word_list,132,existing,junior_high,noun,犬,2
doll,junior_high,人形,,junior_word_list,611,existing,junior_high,noun,人形,2
door,junior_high,戸,,junior_word_list,133,existing,junior_high,noun,ドア,2
dot,junior_high,点,,junior_word_list,1401,existing,high_school,noun,点・ドット,2
down,junior_high,下に,,junior_word_list,134;135,existing,junior_high,adverb,下に・下へ,2
drama,junior_high,劇,,junior_word_list,136,existing,junior_high,noun,ドラマ・劇,2
draw,junior_high,描く、引く,引く,junior_word_list;high_word_list,137;687;454,existing,junior_high,verb,描く・引く / 描く・引く（過去分詞） / 描く・引く（過去形）,4
dream,junior_high,夢,,junior_word_list,138,existing,junior_high,noun,夢,2
drink,junior_high,を飲む,,junior_word_list,139,existing,junior_high,verb,飲む（過去形） / 飲む / 飲む（過去分詞）,4
drive,junior_high,運転する,,junior_word_list,868;1402,existing,junior_high,verb,運転する / 運転する（過去分詞） / 運転する（過去形）,4
driver,junior_high,運転手,,junior_word_list,1403,existing,junior_high,noun,運転手・ドライバー,2
drop,junior_high,を落とす,,junior_word_list,140;1404,existing,junior_high,verb,落とす・落ちる,2
drove,junior_high,運転した,,junior_word_list,1406,existing,junior_high,verb,運転する（過去形）,1
drum,junior_high,太鼓、ドラム,,junior_word_list,141,existing,junior_high,noun,ドラム・太鼓,2
dry,junior_high,乾く,,junior_word_list,869,existing,junior_high,verb,乾く・乾かす,2
during,junior_high,～の間,,junior_word_list,142;1879,existing,junior_high,preposition,〜の間に,2
each,junior_high,それぞれの、各自の,,junior_word_list,143;628,existing,junior_high,adjective,それぞれの,2
ear,junior_high,耳,,junior_word_list,145;622,existing,junior_high,noun,耳,2
early,junior_high,早く,,junior_word_list,146;147;870,existing,junior_high,adjective;adverb,早い / 早く,4
earn,junior_high,をかせぐ,稼ぐ,junior_word_list;high_word_list,871;443,existing,high_school,verb,稼ぐ・得る,2
earth,junior_high,地球,,junior_word_list,872,existing,junior_high,noun,地球・大地,2
easily,junior_high,簡単に,,junior_word_list,148,existing,junior_high,adverb,簡単に,2
east,junior_high,東,,junior_word_list,618;873,existing,junior_high,noun,東,2
easy,junior_high,簡単な,,junior_word_list,874,existing,junior_high,adjective,やさしい・簡単な,2
eat,junior_high,を食べる、食事をする,,junior_word_list,149,existing,junior_high,verb,食べる（過去形） / 食べる / 食べる（過去分詞）,4
effort,junior_high,努力,,junior_word_list,876,existing,high_school,noun,努力・取り組み,2
egg,junior_high,卵,,junior_word_list,150,existing,junior_high,noun,卵,2
eight,junior_high,8,,junior_word_list,151,existing,junior_high,numeral,8・八つ,2
eighteen,junior_high,18,,junior_word_list,152,existing,junior_high,numeral,18・十八,2
eighth,junior_high,8番目,,junior_word_list,153,existing,junior_high,ordinal,8番目の,2
eighty,junior_high,80,,junior_word_list,154,existing,junior_high,numeral,80・八十,2
elderly,junior_high,年配の,年配の,junior_word_list;high_word_list,877;824;1327,existing,high_school,adjective,年配の・高齢の,2
elephant,junior_high,ゾウ,,junior_word_list,1905,existing,junior_high,noun,象,2
eleven,junior_high,11,,junior_word_list,156,existing,junior_high,numeral,11・十一,2
eleventh,junior_high,11番目,,junior_word_list,157,existing,junior_high,ordinal,11番目の,2
else,junior_high,その他に,,junior_word_list,1414,existing,junior_high,adverb,そのほかに,2
encourage,junior_high,を勇気づける,励ます,junior_word_list;high_word_list,1417;114,existing,high_school,verb,励ます・促す,2
end,junior_high,最後,,junior_word_list,158;878,existing,junior_high,verb,終わる・終える,2
enemy,junior_high,敵,,junior_word_list,1421,existing,junior_high,noun,敵,2
engineer,junior_high,開発者,,junior_word_list,1422,existing,junior_high,noun,技術者・エンジニア,2
english,junior_high,英語,,junior_word_list,159,existing,junior_high,noun,英語,2
enjoy,junior_high,を楽しむ,,junior_word_list,160,existing,junior_high,verb,楽しむ,2
enough,junior_high,十分な、必要なだけの,,junior_word_list,879,existing,junior_high,adjective,十分な,2
enter,junior_high,入る,入る,junior_word_list;high_word_list,880;180,existing,junior_high,verb,入る,2
entrance,junior_high,入口,,junior_word_list,1904,existing,junior_high,noun,入口,2
environment,junior_high,環境，状況,環境，状況,junior_word_list;high_word_list,1423;422,existing,high_school,noun,環境,2
eraser,junior_high,消しゴム,,junior_word_list,685,existing,junior_high,noun,消しゴム,2
especially,junior_high,特に、とりわけ,特に,junior_word_list;high_word_list,882;185,existing,junior_high,adverb,特に,2
even,junior_high,でさえ,,junior_word_list,883;1869,existing,junior_high,adverb,〜さえ,2
evening,junior_high,夕方,,junior_word_list,161,existing,junior_high,noun,夕方・晩,2
event,junior_high,行事,,junior_word_list,162;1429,existing,junior_high,noun,出来事・イベント,2
ever,junior_high,今まで，かつて,,junior_word_list,1430,existing,junior_high,adverb,今までに・いつか,2
every,junior_high,毎、ごとに,,junior_word_list,163;1431,existing,junior_high,adjective,毎〜・すべての,2
everyone,junior_high,みんな,,junior_word_list,164,existing,junior_high,pronoun,みんな・誰もが,2
everything,junior_high,何でも,,junior_word_list,885,existing,junior_high,pronoun,すべてのもの・何もかも,2
everywhere,junior_high,どこでも,,junior_word_list,886;1926,existing,junior_high,adverb,どこでも・至る所に,2
exam,junior_high,試験,,junior_word_list,1433,existing,junior_high,noun,試験,2
example,junior_high,例、実例,,junior_word_list,887,existing,junior_high,noun,例,2
exchange,junior_high,交換,,junior_word_list,1435,existing,high_school,noun,交換・交流・両替,2
excited,junior_high,わくわくした,,junior_word_list,165;1900,existing,junior_high,adjective,興奮した,1
exciting,junior_high,興奮させる,,junior_word_list,166,existing,junior_high,adjective,わくわくさせる,1
excuse,junior_high,を許す,言い訳,junior_word_list;high_word_list,167;712;774;1277,existing,junior_high,verb,許す・言い訳する,2
exercise,junior_high,練習する,,junior_word_list,1436,existing,junior_high,verb,運動する・練習する,2
expensive,junior_high,高価な，費用のかかる,値段が高い,junior_word_list;high_word_list,1437;217,existing,junior_high,adjective,高価な,2
experience,junior_high,を経験する,,junior_word_list,890;891,existing,high_school,noun,経験,4
explain,junior_high,を説明する,説明する,junior_word_list;high_word_list,892;1878;246,existing,junior_high,verb,説明する,2
eye,junior_high,目、視力,,junior_word_list,168;646,existing,junior_high,noun,目,2
face,junior_high,顔,直面する,junior_word_list;high_word_list,169;893;205,existing,junior_high,noun,顔,2
